Id,Rank,RankInten,RankOldAndNew,MovieCd,MovieNm,OpenDt,SalesAmt,SalesShare,SalesInten,SalesChange,SalesAcc,AudiCnt,AudiInten,AudiChange,AudiAcc,ScrnCnt,ShowCnt
1,1,0,OLD,20192206,"백두산",2019-12-19,4430968920,37.3,1900868950,75.1,57336758690,498802,182608,57.8,6789304,1236,5845
2,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,2092505020,17.6,916870400,78,9900747970,239149,89345,59.6,1204773,929,3439
3,3,0,OLD,20198414,"시동",2019-12-18,1691272350,14.3,589055650,53.4,22927750150,190455,54187,39.8,2716441,801,2997
4,4,0,OLD,20196272,"미드웨이",2019-12-31,1561075860,13.2,489446340,45.7,2646735380,174407,42527,32.2,307780,810,2614
5,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,727968600,6.1,288393600,65.6,112324217320,83529,28067,50.6,13452593,665,1459
6,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,373173440,3.1,179186900,92.4,5673115880,46436,19963,75.4,718558,539,900
7,7,0,OLD,20192401,"포드 V 페라리",2019-12-04,231285920,1.9,76080380,49,10843299600,24650,6100,32.9,1233057,195,378
8,8,0,NEW,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,212853200,1.8,212853200,100,214514200,23488,23488,100,23639,228,860
9,9,-1,OLD,20198430,"나이브스 아웃",2019-12-04,134675900,1.1,17281300,14.7,5783536110,14532,393,2.8,681943,144,272
10,10,-1,OLD,20199981,"눈의 여왕4",2019-12-24,117990360,1,39093300,49.5,1162565320,14465,1066,8,158318,271,321
11,1,0,OLD,20192206,"백두산",2019-12-19,997483800,30.9,-3433485120,-77.5,58334242490,125013,-373789,-74.9,6914317,1241,5536
12,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,499773350,15.5,-1592731670,-76.1,10400521320,63427,-175722,-73.5,1268200,904,3341
13,3,0,OLD,20198414,"시동",2019-12-18,463243940,14.3,-1228028410,-72.6,23390994090,57175,-133280,-70,2773616,779,2859
14,4,0,OLD,20196272,"미드웨이",2019-12-31,452837080,14,-1108238780,-71,3099572460,55793,-118614,-68,363573,797,2693
15,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,228680460,7.1,-499288140,-68.6,112552897780,28801,-54728,-65.5,13481394,596,1253
16,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,126831180,3.9,-246342260,-66,5799947060,17328,-29108,-62.7,735886,456,685
17,7,1,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,64817300,2,-148035900,-69.5,279331500,8560,-14928,-63.6,32199,228,823
18,8,-1,OLD,20192401,"포드 V 페라리",2019-12-04,72961660,2.3,-158324260,-68.5,10916261260,8516,-16134,-65.5,1241573,198,387
19,9,0,NEW,20183002,"해치지않아",2020-01-15,63660000,2,63660000,100,191893000,7589,7589,100,22626,44,44
20,10,-1,OLD,20198430,"나이브스 아웃",2019-12-04,55727980,1.7,-78947920,-58.6,5839264090,6599,-7933,-54.6,688542,147,279
21,1,0,OLD,20192206,"백두산",2019-12-19,1035750260,29.9,38266460,3.8,59369992750,118696,-6317,-5.1,7033013,1193,5565
22,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,585181830,16.9,85408480,17.1,10985703150,68227,4800,7.6,1336427,897,3413
23,3,1,OLD,20196272,"미드웨이",2019-12-31,537679920,15.5,84842840,18.7,3637252380,60808,5015,9,424381,816,2858
24,4,-1,OLD,20198414,"시동",2019-12-18,509892160,14.7,46648220,10.1,23900886250,57987,812,1.4,2831603,774,2870
25,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,234917700,6.8,6237240,2.7,112787815480,26833,-1968,-6.8,13508227,609,1255
26,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,126574480,3.6,-256700,-0.2,5926521540,15749,-1579,-9.1,751635,456,673
27,7,1,OLD,20192401,"포드 V 페라리",2019-12-04,94895360,2.7,21933700,30.1,11011156620,10056,1540,18.1,1251629,200,397
28,8,-1,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,71365900,2.1,6548600,10.1,350697400,8445,-115,-1.3,40644,225,803
29,9,1,OLD,20198430,"나이브스 아웃",2019-12-04,68102660,2,12374680,22.2,5907366750,7431,832,12.6,695973,155,290
30,10,1,OLD,20199981,"눈의 여왕4",2019-12-24,43443260,1.3,463220,1.1,1248988620,5397,-357,-6.2,169469,219,252
31,1,0,OLD,20192206,"백두산",2019-12-19,2128994980,30.5,1093244720,105.6,61498987730,241066,122370,103.1,7274079,1222,5709
32,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,1300064990,18.6,714883160,122.2,12285768140,149292,81065,118.8,1485719,921,3622
33,3,0,OLD,20196272,"미드웨이",2019-12-31,1193781680,17.1,656101760,122,4831034060,133946,73138,120.3,558327,842,2981
34,4,0,OLD,20198414,"시동",2019-12-18,980997700,14.1,471105540,92.4,24881883950,110718,52731,90.9,2942321,825,2984
35,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,406329980,5.8,171412280,73,113194145460,46043,19210,71.6,13554270,644,1391
36,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,232514830,3.3,105940350,83.7,6159036370,28965,13216,83.9,780600,507,810
37,7,0,OLD,20192401,"포드 V 페라리",2019-12-04,203296580,2.9,108401220,114.2,11214453200,21141,11085,110.2,1272770,204,424
38,8,0,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,121090000,1.7,49724100,69.7,471787400,13706,5261,62.3,54350,212,702
39,9,0,OLD,20198430,"나이브스 아웃",2019-12-04,121429580,1.7,53326920,78.3,6028796330,13152,5721,77,709125,142,274
40,10,0,OLD,20199981,"눈의 여왕4",2019-12-24,64316240,0.9,20872980,48,1313304860,7939,2542,47.1,177408,246,288
41,1,0,OLD,20192206,"백두산",2019-12-19,1809882740,30.5,-319112240,-15,63308870470,205310,-35756,-14.8,7479389,1215,5548
42,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,1087854240,18.3,-212210750,-16.3,13373622380,125680,-23612,-15.8,1611399,922,3521
43,3,0,OLD,20196272,"미드웨이",2019-12-31,987319520,16.6,-206462160,-17.3,5818353580,111470,-22476,-16.8,669797,839,2918
44,4,0,OLD,20198414,"시동",2019-12-18,846061220,14.2,-134936480,-13.8,25727945170,95460,-15258,-13.8,3037781,802,2912
45,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,348807660,5.9,-57522320,-14.2,113542953120,39657,-6386,-13.9,13593927,641,1363
46,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,240574900,4,8060070,3.5,6399611270,29699,734,2.5,810299,513,825
47,7,0,OLD,20192401,"포드 V 페라리",2019-12-04,153774100,2.6,-49522480,-24.4,11368227300,16183,-4958,-23.5,1288953,203,420
48,8,0,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,105711000,1.8,-15379000,-12.7,577498400,12016,-1690,-12.3,66366,216,675
49,9,0,OLD,20198430,"나이브스 아웃",2019-12-04,98379680,1.7,-23049900,-19,6127176010,10675,-2477,-18.8,719800,146,289
50,10,0,OLD,20199981,"눈의 여왕4",2019-12-24,60428340,1,-3887900,-6,1373733200,7393,-546,-6.9,184801,250,291
51,1,0,OLD,20192206,"백두산",2019-12-19,576165280,29.1,-1233717460,-68.2,63885035750,71674,-133636,-65.1,7551063,1146,5088
52,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,324735340,16.4,-763118900,-70.1,13698357720,40871,-84809,-67.5,1652270,873,3299
53,3,0,OLD,20196272,"미드웨이",2019-12-31,302353160,15.3,-684966360,-69.4,6120706740,37037,-74433,-66.8,706834,772,2829
54,4,0,OLD,20198414,"시동",2019-12-18,289139340,14.6,-556921880,-65.8,26017084510,35338,-60122,-63,3073119,739,2785
55,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,117873800,6,-230933860,-66.2,113660826920,14574,-25083,-63.2,13608501,571,1167
56,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,61169800,3.1,-179405100,-74.6,6460781070,8356,-21343,-71.9,818655,423,621
57,7,1,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,57217500,2.9,-48493500,-45.9,634715900,7718,-4298,-35.8,74084,204,621
58,8,-1,OLD,20192401,"포드 V 페라리",2019-12-04,47763520,2.4,-106010580,-68.9,11415990820,5565,-10618,-65.6,1294518,193,395
59,9,0,NEW,20183002,"해치지않아",2020-01-15,47693000,2.4,47693000,100,245234000,5347,5347,100,28679,24,25
60,10,-1,OLD,20198430,"나이브스 아웃",2019-12-04,40368620,2,-58011060,-59,6167544630,4743,-5932,-55.6,724543,160,310
61,1,0,OLD,20192206,"백두산",2019-12-19,572810270,28.7,-3355010,-0.6,64457846020,71911,237,0.3,7622974,1171,5046
62,2,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,328800060,16.5,4064720,1.3,14027157780,41623,752,1.8,1693893,873,3287
63,3,1,OLD,20198414,"시동",2019-12-18,286957840,14.4,-2181500,-0.8,26304042350,35312,-26,-0.1,3108431,747,2787
64,4,-1,OLD,20196272,"미드웨이",2019-12-31,286206460,14.3,-16146700,-5.3,6406913200,35278,-1759,-4.7,742112,788,2804
65,5,0,OLD,20197803,"겨울왕국 2",2019-11-21,118655900,5.9,782100,0.7,113779482820,14913,339,2.3,13623414,597,1185
66,6,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,61446420,3.1,276620,0.5,6522227490,8370,14,0.2,827025,431,626
67,7,4,OLD,20198818,"프린스 코기",2019-12-24,44430780,2.2,26883200,153.2,1364803840,7833,5352,215.7,177351,198,234
68,8,0,OLD,20192401,"포드 V 페라리",2019-12-04,50889120,2.5,3125600,6.5,11466879940,5886,321,5.8,1300404,196,401
69,9,-2,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,42250500,2.1,-14967000,-26.2,676966400,5664,-2054,-26.6,79748,203,611
70,10,0,OLD,20198430,"나이브스 아웃",2019-12-04,42965720,2.2,2597100,6.4,6210510350,5038,295,6.2,729581,163,310
71,1,20,OLD,20199581,"닥터 두리틀",2020-01-08,860829200,29.7,857220200,23752.3,864438200,107984,107583,26828.7,108385,1016,4439
72,2,0,NEW,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,654452510,22.6,654452510,100,670676510,73090,73090,100,74338,957,3592
73,3,-2,OLD,20192206,"백두산",2019-12-19,455463800,15.7,-117346470,-20.5,64913309820,56626,-15285,-21.3,7679600,864,3374
74,4,-2,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,224348340,7.7,-104451720,-31.8,14251506120,28562,-13061,-31.4,1722455,688,2051
75,5,-2,OLD,20198414,"시동",2019-12-18,184764060,6.4,-102193780,-35.6,26488806410,22536,-12776,-36.2,3130967,590,1591
76,6,-2,OLD,20196272,"미드웨이",2019-12-31,172700760,6,-113505700,-39.7,6579613960,21496,-13782,-39.1,763608,577,1516
77,7,-2,OLD,20197803,"겨울왕국 2",2019-11-21,68569440,2.4,-50086460,-42.2,113848052260,8690,-6223,-41.7,13632104,384,593
78,8,-2,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,34771940,1.2,-26674480,-43.4,6556999430,4645,-3725,-44.5,831670,233,283
79,9,0,OLD,20191408,"21 브릿지: 테러 셧다운 ",2020-01-01,30820800,1.1,-11429700,-27.1,707787200,4201,-1463,-25.8,83949,147,233
80,10,1,OLD,20183002,"해치지않아",2020-01-15,29296000,1,-10719000,-26.8,314545000,3476,-1055,-23.3,36686,17,17
81,1,0,OLD,20199581,"닥터 두리틀",2020-01-08,827211890,34.2,-33617310,-3.9,1691650090,103493,-4491,-4.2,211878,1085,4573
82,2,1,OLD,20192206,"백두산",2019-12-19,411452030,17,-44011770,-9.7,65324761850,51441,-5185,-9.2,7731041,851,3230
83,3,-1,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,403202790,16.7,-251249720,-38.4,1073879300,45219,-27871,-38.1,119557,947,3444
84,4,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,200610590,8.3,-23737750,-10.6,14452116710,26268,-2294,-8,1748723,679,1957
85,5,0,OLD,20198414,"시동",2019-12-18,159452560,6.6,-25311500,-13.7,26648258970,19667,-2869,-12.7,3150634,600,1501
86,6,0,OLD,20196272,"미드웨이",2019-12-31,142658260,5.9,-30042500,-17.4,6722272220,17616,-3880,-18,781224,577,1447
87,7,0,OLD,20197803,"겨울왕국 2",2019-11-21,72022980,3,3453540,5,113920075240,9258,568,6.5,13641362,379,568
88,8,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,33263940,1.4,-1508000,-4.3,6590263370,4506,-139,-3,836176,226,268
89,9,3,OLD,20198430,"나이브스 아웃",2019-12-04,25421480,1.1,-860840,-3.3,6262214150,2968,-116,-3.8,735633,96,151
90,10,3,OLD,20192401,"포드 V 페라리",2019-12-04,23372240,1,-1764340,-7,11515388760,2754,-187,-6.4,1306099,129,189
91,1,0,OLD,20199581,"닥터 두리틀",2020-01-08,1121469180,37.4,294257290,35.6,2813119270,129060,25567,24.7,340938,1137,4944
92,2,0,OLD,20192206,"백두산",2019-12-19,467789180,15.6,56337150,13.7,65792551030,52933,1492,2.9,7783974,881,3284
93,3,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,475912240,15.9,72709450,18,1549791540,48488,3269,7.2,168045,948,3407
94,4,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,239224700,8,38614110,19.2,14691341410,28698,2430,9.3,1777421,685,1974
95,5,0,OLD,20198414,"시동",2019-12-18,187054680,6.2,27602120,17.3,26835313650,20996,1329,6.8,3171630,612,1542
96,6,0,OLD,20196272,"미드웨이",2019-12-31,184122760,6.1,41464500,29.1,6906394980,20866,3250,18.4,802090,581,1440
97,7,0,OLD,20197803,"겨울왕국 2",2019-11-21,74284480,2.5,2261500,3.1,113994359720,8906,-352,-3.8,13650268,384,579
98,8,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,33421320,1.1,157380,0.5,6623684690,4116,-390,-8.7,840292,222,263
99,9,0,OLD,20198430,"나이브스 아웃",2019-12-04,35279900,1.2,9858420,38.8,6297494050,3771,803,27.1,739404,108,171
100,10,1,OLD,20196161,"타발루가와 얼음공주",2020-01-08,24956000,0.8,7995220,47.1,76690140,3744,1261,50.8,11022,250,280
101,1,0,OLD,20199581,"닥터 두리틀",2020-01-08,2666640530,40.1,1545171350,137.8,5479759800,307988,178928,138.6,648926,1279,5982
102,2,1,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,1103053180,16.6,627140940,131.8,2652844720,115463,66975,138.1,283508,908,3403
103,3,-1,OLD,20192206,"백두산",2019-12-19,1009727790,15.2,541938610,115.9,66802278820,113154,60221,113.8,7897128,877,3298
104,4,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,482675400,7.3,243450700,101.8,15174016810,55967,27269,95,1833388,671,1874
105,5,1,OLD,20196272,"미드웨이",2019-12-31,389611290,5.9,205488530,111.6,7296006270,43954,23088,110.6,846044,576,1319
106,6,-1,OLD,20198414,"시동",2019-12-18,381329520,5.7,194274840,103.9,27216643170,42477,21481,102.3,3214107,632,1535
107,7,0,OLD,20197803,"겨울왕국 2",2019-11-21,150526170,2.3,76241690,102.6,114144885890,17190,8284,93,13667458,425,652
108,8,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,103709240,1.6,70287920,210.3,6727393930,12840,8724,212,853132,320,416
109,9,2,OLD,20192401,"포드 V 페라리",2019-12-04,72237380,1.1,39086160,117.9,11620777360,7703,4221,121.2,1317284,129,200
110,10,-1,OLD,20198430,"나이브스 아웃",2019-12-04,69945960,1.1,34666060,98.3,6367440010,7493,3722,98.7,746897,111,175
111,1,0,OLD,20199581,"닥터 두리틀",2020-01-08,2423634720,40.8,-243005810,-9.1,7903394520,280696,-27292,-8.9,929622,1290,5940
112,2,1,OLD,20192206,"백두산",2019-12-19,885695930,14.9,-124031860,-12.3,67687974750,99296,-13858,-12.2,7996424,865,3210
113,3,-1,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,919632380,15.5,-183420800,-16.6,3572477100,98001,-17462,-15.1,381509,881,3201
114,4,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,451395660,7.6,-31279740,-6.5,15625412470,52985,-2982,-5.3,1886373,682,1846
115,5,0,OLD,20196272,"미드웨이",2019-12-31,336655100,5.7,-52956190,-13.6,7632661370,38196,-5758,-13.1,884240,570,1288
116,6,0,OLD,20198414,"시동",2019-12-18,333740770,5.6,-47588750,-12.5,27550383940,37239,-5238,-12.3,3251346,628,1484
117,7,0,OLD,20197803,"겨울왕국 2",2019-11-21,150259820,2.5,-266350,-0.2,114295145710,17190,0,0,13684648,425,660
118,8,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,115878300,1.9,12169060,11.7,6843272230,14029,1189,9.3,867161,316,416
119,9,0,OLD,20192401,"포드 V 페라리",2019-12-04,61684620,1,-10552760,-14.6,11682461980,6568,-1135,-14.7,1323852,129,188
120,10,0,OLD,20198430,"나이브스 아웃",2019-12-04,57895940,1,-12050020,-17.2,6425335950,6194,-1299,-17.3,753091,116,175
121,1,0,OLD,20199581,"닥터 두리틀",2020-01-08,643398540,37.8,-1780236180,-73.5,8546793060,80766,-199930,-71.2,1010388,1155,5226
122,2,0,OLD,20192206,"백두산",2019-12-19,276814260,16.3,-608881670,-68.7,67964789010,34217,-65079,-65.5,8030641,801,3040
123,3,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,189082710,11.1,-730549670,-79.4,3761559810,21428,-76573,-78.1,402937,784,2734
124,4,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,135734050,8,-315661610,-69.9,15761146520,17194,-35791,-67.5,1903567,653,1802
125,5,1,OLD,20198414,"시동",2019-12-18,120847820,7.1,-212892950,-63.8,27671231760,14667,-22572,-60.6,3266013,571,1477
126,6,-1,OLD,20196272,"미드웨이",2019-12-31,108549780,6.4,-228105320,-67.8,7741211150,13416,-24780,-64.9,897656,535,1302
127,7,0,OLD,20197803,"겨울왕국 2",2019-11-21,48541200,2.9,-101718620,-67.7,114343686910,6083,-11107,-64.6,13690731,380,587
128,8,0,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,21467380,1.3,-94410920,-81.5,6864739610,2938,-11091,-79.1,870099,241,284
129,9,1,OLD,20198430,"나이브스 아웃",2019-12-04,22275580,1.3,-35620360,-61.5,6447611530,2628,-3566,-57.6,755719,114,183
130,10,-1,OLD,20192401,"포드 V 페라리",2019-12-04,18362800,1.1,-43321820,-70.2,11700824780,2165,-4403,-67,1326017,126,193
131,1,0,OLD,20199581,"닥터 두리틀",2020-01-08,611943270,36.8,-31455270,-4.9,9158736330,77440,-3326,-4.1,1087828,1160,5215
132,2,0,OLD,20192206,"백두산",2019-12-19,260282090,15.6,-16532170,-6,68225071100,32512,-1705,-5,8063153,819,3013
133,3,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,164410000,9.9,-24672710,-13,3925969810,18614,-2814,-13.1,421551,780,2677
134,4,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,128204960,7.7,-7529090,-5.5,15889351480,16346,-848,-4.9,1919913,660,1784
135,5,0,OLD,20198414,"시동",2019-12-18,119972380,7.2,-875440,-0.7,27791204140,14846,179,1.2,3280859,599,1504
136,6,0,OLD,20196272,"미드웨이",2019-12-31,98577640,5.9,-9972140,-9.2,7839788790,12234,-1182,-8.8,909890,543,1306
137,7,0,OLD,20197803,"겨울왕국 2",2019-11-21,50738580,3,2197380,4.5,114394425490,6384,301,4.9,13697115,381,571
138,8,10,OLD,20192300,"스파이 지니어스 ",2020-01-22,31028000,1.9,21857000,238.3,74192000,3132,2113,207.4,7810,17,17
139,9,-1,OLD,20198374,"신비아파트 극장판 하늘도깨비 대 요르문간드",2019-12-19,21920840,1.3,453460,2.1,6886660450,3000,62,2.1,873099,241,286
140,10,-1,OLD,20198430,"나이브스 아웃",2019-12-04,23562660,1.4,1287080,5.8,6471174190,2787,159,6.1,758506,115,181
141,1,24,OLD,20183002,"해치지않아",2020-01-15,849838670,36.2,846762170,27523.6,1169197170,108280,107927,30574.2,145512,1104,5244
142,2,0,NEW,20196670,"나쁜 녀석들: 포에버",2020-01-15,525916520,22.4,525916520,100,529705520,62177,62177,100,62608,876,3783
143,3,-2,OLD,20199581,"닥터 두리틀",2020-01-08,395775020,16.8,-216168250,-35.3,9554511350,50357,-27083,-35,1138185,887,3552
144,4,-2,OLD,20192206,"백두산",2019-12-19,167200060,7.1,-93082030,-35.8,68392271160,21031,-11481,-35.3,8084184,598,1716
145,5,-2,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,71569840,3,-92840160,-56.5,3997539650,8304,-10310,-55.4,429855,477,984
146,6,-2,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,56679600,2.4,-71525360,-55.8,15946031080,7217,-9129,-55.8,1927130,432,761
147,7,-2,OLD,20198414,"시동",2019-12-18,44348460,1.9,-75623920,-63,27835552600,5427,-9419,-63.4,3286286,347,613
148,8,-2,OLD,20196272,"미드웨이",2019-12-31,42455000,1.8,-56122640,-56.9,7882243790,5404,-6830,-55.8,915294,289,449
149,9,-2,OLD,20197803,"겨울왕국 2",2019-11-21,24589500,1,-26149080,-51.5,114419014990,3207,-3177,-49.8,13700322,193,241
150,10,7,OLD,20192101,"히트맨",2020-01-22,23967000,1,11808000,97.1,38222000,2663,1312,97.1,4276,14,14
151,1,0,OLD,20183002,"해치지않아",2020-01-15,746989720,34.9,-102848950,-12.1,1916186890,94364,-13916,-12.9,239876,1133,5275
152,2,0,OLD,20196670,"나쁜 녀석들: 포에버",2020-01-15,422873150,19.8,-103043370,-19.6,952578670,50124,-12053,-19.4,112732,879,3606
153,3,0,OLD,20199581,"닥터 두리틀",2020-01-08,349393740,16.3,-46381280,-11.7,9903905090,44833,-5524,-11,1183018,919,3587
154,4,0,OLD,20192206,"백두산",2019-12-19,150656960,7,-16543100,-9.9,68542928120,19001,-2030,-9.7,8103185,623,1712
155,5,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,68388620,3.2,-3181220,-4.4,4065928270,7910,-394,-4.7,437765,463,916
156,6,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,53462180,2.5,-3217420,-5.7,15999493260,6845,-372,-5.2,1933975,430,762
157,7,0,NEW,20198676,"타오르는 여인의 초상",2020-01-16,49006120,2.3,49006120,100,84288020,6530,6530,100,10171,72,154
158,8,2,OLD,20192101,"히트맨",2020-01-22,40894000,1.9,16927000,70.6,79116000,4770,2107,79.1,9046,21,22
159,9,-2,OLD,20198414,"시동",2019-12-18,38398620,1.8,-5949840,-13.4,27873951220,4714,-713,-13.1,3291000,338,576
160,10,-2,OLD,20196272,"미드웨이",2019-12-31,36293200,1.7,-6161800,-14.5,7918536990,4581,-823,-15.2,919875,282,417
161,1,0,OLD,20183002,"해치지않아",2020-01-15,920524920,36.1,173535200,23.2,2836711810,105946,11582,12.3,345822,1137,5552
162,2,0,OLD,20196670,"나쁜 녀석들: 포에버",2020-01-15,548876940,21.5,126003790,29.8,1501455610,58795,8671,17.3,171527,875,3616
163,3,0,OLD,20199581,"닥터 두리틀",2020-01-08,427338960,16.8,77945220,22.3,10331244050,50520,5687,12.7,1233538,939,3810
164,4,0,OLD,20192206,"백두산",2019-12-19,169453780,6.7,18796820,12.5,68712381900,19377,376,2,8122562,615,1710
165,5,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,93320340,3.7,24931720,36.5,4159248610,9882,1972,24.9,447647,445,884
166,6,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,62644680,2.5,9182500,17.2,16062137940,7318,473,6.9,1941293,435,758
167,7,0,OLD,20198676,"타오르는 여인의 초상",2020-01-16,49174720,1.9,168600,0.3,133462740,5681,-849,-13,15852,96,194
168,8,2,OLD,20196272,"미드웨이",2019-12-31,41715140,1.6,5421940,14.9,7960252130,4759,178,3.9,924634,279,423
169,9,0,OLD,20198414,"시동",2019-12-18,35432720,1.4,-2965900,-7.7,27909383940,4014,-700,-14.8,3295014,326,556
170,10,1,OLD,20197803,"겨울왕국 2",2019-11-21,27377440,1.1,218900,0.8,114473550970,3396,-222,-6.1,13707336,206,254
171,1,0,OLD,20183002,"해치지않아",2020-01-15,2138136630,38.6,1217611710,132.3,4974848440,245755,139809,132,591577,1216,5968
172,2,0,OLD,20196670,"나쁜 녀석들: 포에버",2020-01-15,1152804950,20.8,603928010,110,2654260560,123462,64667,110,294989,887,3629
173,3,0,OLD,20199581,"닥터 두리틀",2020-01-08,1008454220,18.2,581115260,136,11339698270,118348,67828,134.3,1351886,1081,4460
174,4,0,OLD,20192206,"백두산",2019-12-19,361291560,6.5,191837780,113.2,69073673460,40840,21463,110.8,8163402,621,1665
175,5,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,191313400,3.5,97993060,105,4350562010,20160,10278,104,467807,458,803
176,6,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,124903720,2.3,62259040,99.4,16187041660,14203,6885,94.1,1955496,428,717
177,7,1,OLD,20196272,"미드웨이",2019-12-31,78644960,1.4,36929820,88.5,8038897090,8858,4099,86.1,933492,255,384
178,8,-1,OLD,20198676,"타오르는 여인의 초상",2020-01-16,73594520,1.3,24419800,49.7,207057260,8355,2674,47.1,24207,115,228
179,9,0,OLD,20198414,"시동",2019-12-18,66468820,1.2,31036100,87.6,27975852760,7467,3453,86,3302481,318,526
180,10,0,OLD,20197803,"겨울왕국 2",2019-11-21,61910160,1.1,34532720,126.1,114535461130,7173,3777,111.2,13714509,213,309
181,1,0,OLD,20183002,"해치지않아",2020-01-15,1927802340,39,-210334290,-9.8,6902650780,221818,-23937,-9.7,813395,1195,5830
182,2,0,OLD,20196670,"나쁜 녀석들: 포에버",2020-01-15,1000154610,20.2,-152650340,-13.2,3654415170,107596,-15866,-12.9,402585,896,3577
183,3,0,OLD,20199581,"닥터 두리틀",2020-01-08,873568490,17.7,-134885730,-13.4,12213266760,102378,-15970,-13.5,1454264,1059,4300
184,4,0,OLD,20192206,"백두산",2019-12-19,326328200,6.6,-34963360,-9.7,69400001660,36915,-3925,-9.6,8200317,617,1632
185,5,0,OLD,20195462,"스타워즈: 라이즈 오브 스카이워커",2020-01-08,163201040,3.3,-28112360,-14.7,4513763050,17657,-2503,-12.4,485464,445,765
186,6,0,OLD,20184571,"천문: 하늘에 묻는다",2019-12-26,115225400,2.3,-9678320,-7.7,16302267060,13210,-993,-7,1968706,421,693
187,7,1,OLD,20198676,"타오르는 여인의 초상",2020-01-16,82748980,1.7,9154460,12.4,289806240,9413,1058,12.7,33620,118,234
188,8,-1,OLD,20196272,"미드웨이",2019-12-31,67608980,1.4,-11035980,-14,8106506070,7583,-1275,-14.4,941075,260,374
189,9,1,OLD,20197803,"겨울왕국 2",2019-11-21,57797460,1.2,-4112700,-6.6,114593258590,6681,-492,-6.9,13721190,224,315
190,10,-1,OLD,20198414,"시동",2019-12-18,56235620,1.1,-10233200,-15.4,28032088380,6363,-1104,-14.8,3308844,312,508
