Id,Rank,RankInten,RankOldAndNew,MovieCd,MovieNm,OpenDt,SalesAmt,SalesShare,SalesInten,SalesChange,SalesAcc,AudiCnt,AudiInten,AudiChange,AudiAcc,ScrnCnt,ShowCnt
1725,5,0,OLD,20179462,"위대한 쇼맨",2017-12-20,37471940,2.3,901480,2.5,13110279540,6171,177,3,1660447,224,325
1726,6,0,OLD,20196702,"야구소녀",2020-06-18,38904340,2.4,518120,1.3,149397880,4310,102,2.4,17096,254,401
1727,7,0,OLD,20205481,"에어로너츠",2020-06-10,31135740,1.9,-6137600,-16.5,636643960,3262,-613,-15.8,71614,256,352
1728,8,0,OLD,20209463,"나의 첫 번째 슈퍼스타",2020-06-10,21903740,1.3,-2283180,-9.4,430822560,2304,-211,-8.4,47183,182,238
1729,9,1,OLD,20184842,"아이 캔 온리 이매진",2018-06-21,9095480,0.6,1405420,18.3,228396040,1385,221,19,28932,131,150
1730,10,-1,OLD,20198890,"아이즈 온 미 : 더 무비",2020-06-10,16204500,1,-1128500,-6.5,487027000,1247,-88,-6.6,37743,96,106
1731,1,0,OLD,20183813,"결백",2020-06-10,141680440,37.1,-390501920,-73.4,5198301680,17058,-40406,-70.3,575262,796,2582
1732,2,1,OLD,20193859,"사라진 시간",2020-06-18,73175860,19.2,-264060360,-78.3,1376718300,8771,-27666,-75.9,151906,702,2044
1733,3,-1,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,70603460,18.5,-353718000,-83.4,1504119940,8319,-38338,-82.2,166305,834,2373
1734,4,0,OLD,20197863,"침입자",2020-06-04,24156660,6.3,-64620640,-72.8,4705889660,2888,-6872,-70.4,519192,407,730
1735,5,0,OLD,20179462,"위대한 쇼맨",2017-12-20,7115740,1.9,-30356200,-81,13117395280,1151,-5020,-81.3,1661598,170,238
1736,6,0,OLD,20196702,"야구소녀",2020-06-18,8863040,2.3,-30041300,-77.2,158260920,1139,-3171,-73.6,18235,199,315
1737,7,0,OLD,20205481,"에어로너츠",2020-06-10,6478460,1.7,-24657280,-79.2,643122420,795,-2467,-75.6,72409,193,256
1738,8,0,OLD,20209463,"나의 첫 번째 슈퍼스타",2020-06-10,5406720,1.4,-16497020,-75.3,436229280,661,-1643,-71.3,47844,142,185
1739,9,1,OLD,20198890,"아이즈 온 미 : 더 무비",2020-06-10,6078000,1.6,-10126500,-62.5,493105000,469,-778,-62.4,38212,84,90
1740,10,0,NEW,20195483,"에이브의 쿠킹 다이어리",2020-06-24,3605000,0.9,3605000,100,8868000,457,457,100,1120,3,3
1741,1,0,OLD,20183813,"결백",2020-06-10,127544520,32.3,-14135920,-10,5325846200,15374,-1684,-9.9,590636,811,2567
1742,2,1,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,67825320,17.2,-2778140,-3.9,1571945260,8150,-169,-2,174455,827,2307
1743,3,-1,OLD,20193859,"사라진 시간",2020-06-18,59902620,15.2,-13273240,-18.1,1436620920,7237,-1534,-17.5,159143,683,1904
1744,4,0,OLD,20197863,"침입자",2020-06-04,24704940,6.3,548280,2.3,4730594600,3002,114,3.9,522194,402,736
1745,5,6,OLD,20196201,"소리꾼",2020-07-01,20187000,5.1,16367000,428.5,24007000,2243,1815,424.1,2671,16,16
1746,6,-1,OLD,20179462,"위대한 쇼맨",2017-12-20,8673420,2.2,1557680,21.9,13126068700,1399,248,21.5,1662997,180,251
1747,7,-1,OLD,20196702,"야구소녀",2020-06-18,10416200,2.6,1553160,17.5,168677120,1255,116,10.2,19490,215,326
1748,8,0,NEW,20193069,"#살아있다",2020-06-24,2503000,0.6,2503000,100,15670000,1239,1239,100,4006,5,5
1749,9,0,OLD,20198890,"아이즈 온 미 : 더 무비",2020-06-10,13169000,3.3,7091000,116.7,506274000,1016,547,116.6,39228,92,103
1750,10,-3,OLD,20205481,"에어로너츠",2020-06-10,7374600,1.9,896140,13.8,650497020,932,137,17.2,73341,203,279
1751,1,7,OLD,20193069,"#살아있다",2020-06-24,1311296000,86.3,1308793000,52289,1326966000,204066,202827,16370.2,208072,1662,7223
1752,2,-1,OLD,20183813,"결백",2020-06-10,67988120,4.5,-59556400,-46.7,5393834320,10624,-4750,-30.9,601260,598,1724
1753,3,-1,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,46668380,3.1,-21156940,-31.2,1618613640,7093,-1057,-13,181548,512,1145
1754,4,-1,OLD,20193859,"사라진 시간",2020-06-18,20236300,1.3,-39666320,-66.2,1456857220,3151,-4086,-56.5,162294,471,869
1755,5,0,NEW,20050112,"배트맨 비긴즈",2005-06-24,17803900,1.2,17803900,100,5570029900,2277,2277,100,871521,231,408
1756,6,0,NEW,20209644,"엔딩스 비기닝스",2020-06-24,11287700,0.7,11287700,100,13312700,1739,1739,100,1964,221,322
